Stock,Actual Comparisons,Theoretical Comparisons,Difference
NEE.csv,203910,204885.63331828607,-975.633318286069
UPS.csv,92176,87380.75924189066,4795.240758109343
ELV.csv,80223,79262.94632618478,960.053673815215
EMR.csv,226704,208138.51837908398,18565.48162091602
MSFT.csv,148345,146233.94175444203,2111.0582455579715
ANSS.csv,117600,101664.63153735112,15935.368462648883
CTAS.csv,168196,157573.26985598533,10622.73014401467
BIO.csv,225366,173128.20687336437,52237.79312663563
UDR.csv,378210,172897.36334483678,205312.63665516322
CTLT.csv,31549,29099.594316849118,2449.4056831508824
WEC.csv,189052,172897.36334483678,16154.636655163224
AME.csv,173544,153514.96953663393,20029.03046336607
IT.csv,126100,113250.51189578023,12849.488104219767
DD.csv,215520,208138.51837908398,7381.48162091602
ACN.csv,89088,80377.57283109547,8710.427168904527
VRSN.csv,105633,94844.72630829169,10788.27369170831
EW.csv,95979,85826.48396101173,10152.516038988266
CMG.csv,71942,62007.542089744886,9934.457910255114
AWK.csv,57061,53102.72126183415,3958.278738165849
COO.csv,159871,160143.71714978744,-272.71714978743694
SHW.csv,180224,172897.36334483678,7326.636655163224
HPQ.csv,304440,255633.00994964258,48806.99005035742
AMAT.csv,182291,172897.36334483678,9393.636655163224
CCL.csv,174188,140223.27778322189,33964.722216778115
MLM.csv,115379,111636.0164027414,3742.9835972586006
AVY.csv,237798,204885.63331828607,32912.36668171393
ATVI.csv,125116,113012.435269695,12103.564730305006
EVRG.csv,275534,204885.63331828607,70648.36668171393
EA.csv,143934,130764.53269559062,13169.46730440938
DE.csv,206335,208138.51837908398,-1803.51837908398
SPG.csv,116965,112417.47156348905,4547.528436510955
AMD.csv,223745,172897.36334483678,50847.63665516322
KLAC.csv,197394,170360.125169348,27033.874830652
NDAQ.csv,85118,76532.71662837749,8585.283371622514
URI.csv,108249,95312.30088100421,12936.699118995792
WHR.csv,197665,204885.63331828607,-7220.633318286069
RTX.csv,283633,254470.81710842592,29162.182891574077
NXPI.csv,45440,44146.69440762019,1293.3055923798092
PNC.csv,230018,192410.08722018986,37607.91277981014
KMX.csv,104187,99011.20508708722,5175.794912912781
SEDG.csv,27584,26711.545330377605,872.4546696223952
WRK.csv,26271,25815.196260719847,455.8037392801525
MTCH.csv,119109,116299.03586104725,2809.9641389527533
BIIB.csv,125330,122112.21294007516,3217.7870599248417
NVDA.csv,92263,90747.31113268434,1515.6888673156645
CHRW.csv,103928,96047.5491589257,7880.4508410743
ROP.csv,129461,120330.96490021913,9130.035099780871
IDXX.csv,133907,123141.07811173004,10765.921888269964
EXC.csv,238083,204001.00200325545,34081.997996744554
HES.csv,173927,172897.36334483678,1029.6366551632236
HD.csv,173586,166110.33493558306,7475.665064416942
ALB.csv,124225,111602.05294756724,12622.947052432763
VLO.csv,185865,164855.17901251605,21009.820987483952
AON.csv,206664,171956.55113928256,34707.44886071744
ZTS.csv,38200,34660.34550327222,3539.6544967277805
FDX.csv,224044,181583.6798913403,42460.32010865971
DG.csv,47379,46951.421863566065,427.57813643393456
TYL.csv,193820,172897.36334483678,20922.636655163224
HIG.csv,130720,103836.43969203817,26883.56030796183
CMS.csv,261439,204885.63331828607,56553.36668171393
CAG.csv,196589,172897.36334483678,23691.636655163224
INCY.csv,114797,112876.41483917285,1920.5851608271478
SCHW.csv,134890,139510.68413362518,-4620.684133625182
HSIC.csv,111102,104325.33415878187,6776.665841218128
AZO.csv,141481,124119.32075861137,17361.67924138863
AXP.csv,246204,208138.51837908398,38065.48162091602
HPE.csv,29525,24649.753354951634,4875.246645048366
DFS.csv,71423,56501.02830751358,14921.971692486419
SEE.csv,190512,172897.36334483678,17614.636655163224
HRL.csv,220951,172897.36334483678,48053.63665516322
SO.csv,161955,164872.8506268706,-2917.8506268706114
FRT.csv,537409,203982.95223108205,333426.047768918
ZBH.csv,88444,80311.96049920932,8132.039500790677
CME.csv,89491,74723.76564028526,14767.234359714741
XOM.csv,270019,255633.00994964258,14385.990050357417
AMP.csv,68416,63460.75825802878,4955.241741971222
CVX.csv,289714,255633.00994964258,34080.99005035742
