Stock Count,Total Volume,Actual Comparisons,Theoretical Comparisons,Difference,Time (ms)
459,6472,72911,75464.49341580682,-2553.493415806821,0.39725
460,4091,43055,44994.79092934399,-1939.790929343988,0.25575
461,2460,24187,25251.528796557443,-1064.5287965574425,0.152458
462,7187,81822,84887.90732757414,-3065.9073275741393,0.448
463,7886,90908,94199.88506942026,-3291.8850694202556,0.508292
464,10972,131770,136290.12488593932,-4520.124885939324,0.760833
465,4136,43716,45554.98866522257,-1838.9886652225687,0.25125
466,12878,157877,162941.45239627027,-5064.452396270266,0.877666
467,7006,79682,82492.27316125126,-2810.273161251258,0.435125
468,8016,92398,95941.83301425278,-3543.833014252785,0.480166
469,10564,126257,130644.59974426916,-4387.599744269159,0.713292
470,11781,142491,147548.2984106888,-5057.298410688789,0.794125
471,9040,103948,109765.64779801505,-5817.647798015052,0.562833
472,2246,21780,22760.03740905175,-980.0374090517507,0.132458
473,12938,158381,163787.3726925437,-5406.372692543693,0.862
474,10801,128707,133921.27337845467,-5214.273378454673,0.688333
475,5262,57556,59784.66329551891,-2228.6632955189125,0.331375
476,10972,132141,136290.12488593932,-4149.124885939324,0.736167
477,10972,131811,136290.12488593932,-4479.124885939324,0.718333
478,10972,132003,136290.12488593932,-4287.124885939324,0.72825
479,5950,66466,68656.11002084188,-2190.1100208418793,0.382042
480,7116,81009,83947.39025912111,-2938.390259121108,0.426
481,6356,71177,73946.0900698192,-2769.090069819198,0.414042
482,10972,131950,136290.12488593932,-4340.124885939324,0.74375
483,5848,64977,67333.27898112987,-2356.2789811298717,0.378833
484,9907,117180,121601.82174197782,-4421.821741977823,0.628708
485,12065,146581,151519.7886604191,-4938.788660419086,0.809417
486,6889,77702,80947.29328509794,-3245.2932850979414,0.414667
487,10972,132022,136290.12488593932,-4268.124885939324,0.765459
488,15537,193901,200792.1818824286,-6891.181882428587,1.023791
489,10457,125096,129167.76086757041,-4071.7608675704105,0.713125
490,1136,9866,10395.11272775732,-529.1127277573196,0.067417
491,2577,25596,26625.21576993224,-1029.2157699322415,0.156042
492,12758,156335,161250.82359704297,-4915.823597042967,0.817708
493,15537,194185,200792.1818824286,-6607.181882428587,0.9875
494,8882,103603,107621.25277869988,-4018.2527786998835,0.560125
495,10972,132030,136290.12488593932,-4260.124885939324,0.756166
496,4846,52429,54482.53632908123,-2053.536329081231,0.316375
497,10972,132131,136290.12488593932,-4159.124885939324,0.741291
498,7008,79466,82518.70771368503,-3052.7077136850276,0.43925
499,8643,101102,104385.2460417497,-3283.246041749706,0.564792
500,7581,87078,90125.23534091742,-3047.2353409174248,0.477833
501,9926,118034,121862.46963426322,-3828.4696342632233,0.633667
502,6032,67182,69721.39374243659,-2539.3937424365868,0.376
503,10972,132190,136290.12488593932,-4100.124885939324,0.754083
