Stock Count,Total Volume,Actual Comparisons,Theoretical Comparisons,Difference,Time (ms)
174,10972,132280,136290.12488593932,-4010.1248859393236,0.787791
175,12758,156498,161250.82359704297,-4752.823597042967,0.985875
176,11319,136375,141108.84812532843,-4733.848125328426,0.784417
177,2069,19708,20721.451396880362,-1013.4513968803622,0.129542
178,12758,156552,161250.82359704297,-4698.823597042967,0.881625
179,6004,66853,69357.45640277061,-2504.4564027706074,0.396708
180,5511,60567,62981.25034760895,-2414.250347608948,0.370333
181,12938,158863,163787.3726925437,-4924.372692543693,0.894291
182,9458,111370,115457.82713543791,-4087.8271354379103,0.652209
183,6860,77754,80564.7910268728,-2810.791026872801,0.451041
184,10105,120613,124320.60909130404,-3707.609091304039,0.684583
185,10985,132428,136470.37103367737,-4042.3710336773656,0.704708
186,10972,132178,136290.12488593932,-4112.124885939324,0.676291
187,2302,22386,23409.2832159404,-1023.2832159403988,0.133166
188,10972,132367,136290.12488593932,-3923.1248859393236,0.766042
189,9874,117496,121149.24251226359,-3653.2425122635905,0.653334
190,7545,86439,89645.44762394897,-3206.447623948974,0.484959
191,12938,158232,163787.3726925437,-5555.372692543693,0.881666
192,5579,61345,63857.06707431222,-2512.0670743122173,0.395875
193,6453,72565,75215.58256336063,-2650.582563360629,0.412709
194,5910,65566,68137.04967303353,-2571.049673033529,0.382084
195,4444,47338,49407.805942573126,-2069.8059425731262,0.289083
196,3881,40740,42390.10755772532,-1650.1075577253214,0.260625
197,10251,122182,126328.963066825,-4146.963066825003,0.666667
198,10972,132082,136290.12488593932,-4208.124885939324,0.90925
199,15537,194214,200792.1818824286,-6578.181882428587,1.203875
200,10972,132065,136290.12488593932,-4225.124885939324,0.731083
201,9113,104696,110757.76243915859,-6061.762439158585,0.564875
202,7450,85203,88380.5340912648,-3177.5340912647953,0.454375
203,12758,156611,161250.82359704297,-4639.823597042967,0.887834
204,7531,86357,89458.93037116416,-3101.930371164155,0.470375
205,12758,156473,161250.82359704297,-4777.823597042967,0.864708
206,8567,99876,103358.20865476872,-3482.2086547687213,0.642416
207,12938,158849,163787.3726925437,-4938.372692543693,0.8665
208,7496,85006,88992.80166149327,-3986.8016614932712,0.481125
209,10972,129304,136290.12488593932,-6986.124885939324,0.69025
210,10829,129199,134308.88971757342,-5109.889717573416,0.691208
211,5344,58599,60835.51573898134,-2236.5157389813394,0.333959
212,6481,72804,75582.42665801449,-2778.4266580144904,0.430042
