File Count,Total Volume,Actual Comparisons,Estimated Theoretical Comparisons,Sorting Time (ms)
254,2102464,123750545,56861290,137.057708
255,2113436,135389642,57135032,147.614917
256,2126374,121968250,57472115,134.570333
257,2139132,144963956,58148642,156.305958
258,2143623,148263975,57762698,162.710959
259,2153704,146408931,58360012,157.956625
260,2164345,151026862,58382900,162.188583
261,2173534,145137372,58604208,156.329959
262,2181030,152800216,59002876,165.136708
263,2187137,154196165,59218943,165.622708
264,2197656,149189324,59306937,161.589208
265,2206167,154058826,59738862,165.904875
266,2211152,151528890,59857662,163.680167
267,2221566,153418334,60101233,165.718834
268,2232358,145355207,60537156,158.898625
269,2237957,144315143,60766843,157.306583
270,2240709,150880889,60627374,162.986625
271,2247349,149483168,60686101,160.775458
272,2258321,151988194,61217618,165.117917
273,2269293,135137015,61445112,148.889791
274,2271417,150961830,61656392,163.898542
275,2274274,155283530,61601063,166.465291
276,2286449,152198328,62156126,164.483583
277,2292867,157408982,62392371,169.621625
278,2295871,153587663,62633911,167.46725
279,2308629,156067237,62472376,169.397625
280,2315133,163940382,63150156,177.37875
281,2326105,158752930,63395583,171.71675
282,2341642,147257102,63818249,162.328
283,2348141,150987888,64027132,163.0015
284,2363678,151466688,64509408,164.754458
285,2376386,138330760,64435580,153.774375
286,2384280,151588431,65025304,163.963375
287,2389305,166805376,65172569,178.685708
288,2397179,166122137,65240525,180.274625
289,2409923,164956454,65802628,179.188875
290,2418480,159725297,65643344,172.893917
291,2429452,163524251,66282199,177.005417
292,2439112,162543538,66621719,175.090708
293,2451870,165413706,66680540,178.713958
294,2462842,153593445,67357872,170.207625
295,2475780,146321586,67634676,162.621
296,2476870,168930116,67580600,180.592417
297,2483878,161564535,67943739,176.402083
298,2490015,172397668,68281937,186.662958
299,2505552,171538969,68402014,185.347916
300,2521089,152744716,68844353,167.679209
301,2524996,174742366,69137066,194.213583
302,2532270,178467063,69470327,192.221792
303,2545028,170546506,69495363,185.443042
304,2555144,169920901,70038924,183.509959
305,2557955,173927233,70149434,189.304375
306,2562696,178787122,70085865,191.280333
307,2569431,180455668,70196158,193.666792
308,2576866,178871393,70600462,191.777125
309,2592403,158829249,71134558,174.629167
310,2597257,181170455,71444549,194.375834
311,2612794,165654878,71864155,180.853042
312,2615941,182696959,71680452,195.835583
313,2620202,185944076,71865791,203.657208
314,2627833,180856670,72123002,196.094875
315,2640771,174338790,72602922,189.013167
316,2646468,182843205,72290683,195.703791
317,2651838,175390265,73220606,192.667458
318,2662810,167785962,72953618,183.324333
319,2673782,166692537,73665184,182.403542
320,2684754,183821808,73874170,196.995459
321,2697512,187162561,73962946,201.491916
322,2700731,185121205,74032820,199.208334
323,2711703,183847023,74624311,197.066208
324,2720818,188862836,74655050,201.406084
325,2726418,191588261,75045087,205.714791
326,2739176,168721851,75360179,185.197708
327,2749252,187634829,75700129,202.303709
328,2755760,190045437,75729708,204.907667
329,2766732,173679998,76581227,190.08025
330,2777704,188241158,76394303,206.467708
331,2788676,188536124,76632921,203.571042
332,2795938,193779205,77292575,210.5405
333,2803388,191030109,77240547,205.480208
334,2814360,198314102,77796709,213.03775
335,2825332,182368318,78023696,199.966834
336,2835371,194757917,78095327,208.500041
337,2836576,191784235,78061017,209.391417
338,2839907,188623020,78256424,219.535458
339,2844998,201640445,78842088,216.453708
340,2855013,195108498,78784552,208.602917
341,2865532,195186800,78877012,215.53625
342,2876810,189480264,79224142,206.510875
343,2882290,197201385,79920975,211.959416
344,2889556,202622928,79794087,217.95
345,2902314,192117950,80250983,208.268333
346,2913286,192581184,80434662,207.311708
347,2920139,193855565,80433067,209.257375
348,2931111,182113035,81072237,199.289333
349,2937123,197726479,81165431,217.896459
350,2948095,193634184,81555163,210.415333
351,2955221,200405085,81604818,215.229
352,2967809,200531693,82377443,216.236
353,2972615,206691187,82193576,243.984334
354,2983358,202396084,82795708,221.125208
355,2985698,206025718,82724721,225.219166
356,2995798,205246051,82959264,219.636709
357,3006770,203215014,83233761,221.935666
358,3013913,201800275,83481033,221.871834
359,3019737,206683376,83596878,222.892958
360,3022591,208345518,83580520,245.129541
361,3027118,192762935,84015358,215.356708
362,3034285,207954880,83922502,222.619333
363,3041749,211918449,84397135,230.077
364,3054507,207542162,85002968,224.018958
365,3055649,208213908,84769197,220.504625
366,3062682,216669551,84764942,231.151833
367,3064948,206367984,85045209,221.677667
368,3071063,219482958,85054491,236.109166
369,3082035,217029729,85582884,233.554333
370,3094793,200218650,85959073,215.95625
371,3099544,218187237,85970835,237.446083
372,3105894,215087934,86266727,232.637
373,3116413,210723368,86409765,230.229208
374,3124072,221463275,86558523,241.981458
375,3131139,200067755,87344096,218.0585
376,3138795,204069582,87348996,221.726667
377,3145368,208829277,87273144,224.904709
378,3153320,221049558,87886150,241.961791
379,3158126,214666502,88031380,231.281
380,3161050,224081567,88075636,241.472041
381,3172021,221409255,88035354,239.314083
382,3178567,224167487,88488728,244.074416
383,3189539,196912107,88556175,216.689333
384,3194006,221956948,88958243,239.338458
385,3206944,204577404,89504387,223.023833
386,3210500,211657944,89598526,228.547417
387,3221472,212298893,89306324,232.995042
388,3229653,228936874,89640944,249.50625
389,3242362,219752332,90358548,238.259791
390,3253334,201955036,90299107,221.93675
391,3263373,200790360,90667894,226.599583
392,3272441,214784083,91321603,235.801875
393,3276679,226567097,91154766,246.898541
394,3286828,228099672,91451225,247.398167
395,3290925,231795687,91548879,248.582583
396,3300460,233325262,91892053,255.211667
397,3311432,230991315,92451182,256.243
398,3317317,220113729,92577439,240.629542
399,3328289,231099903,92904621,248.533042
400,3334637,234923901,93342301,257.584791
401,3346934,214280005,93792942,236.635584
402,3347818,226452852,93799041,241.440583
403,3356175,236630822,93708016,254.749709
404,3364177,226950425,94244531,244.058958
405,3367551,232651629,94286795,253.06375
406,3378523,216553558,94247416,243.122917
407,3389495,227094054,94662690,245.329
408,3399102,232775823,95334919,256.620084
409,3410126,221881723,95090445,243.5
410,3411852,239606010,95569777,259.814083
411,3419553,229634898,95541746,250.460791
412,3432311,217303328,96028453,237.251125
413,3443144,200934251,96254847,227.906125
414,3455852,227714744,96716441,246.091334
415,3466824,236835047,96907661,258.969209
416,3469126,240444495,97051043,257.003958
417,3480098,242964280,97139163,268.169791
418,3481831,245742414,97725495,260.282375
419,3489758,244769093,97824407,262.104917
420,3500729,209947711,98023246,232.6375
421,3504855,237513738,98793061,268.34025
422,3516039,228685227,98338253,250.836084
423,3528797,230249953,98508003,255.147125
424,3539769,244811052,99306670,267.7595
425,3550580,237041730,99712486,256.973167
426,3563338,230412392,99626471,256.564584
427,3570935,251520514,100555915,271.379542
428,3576451,254654667,100139914,272.419958
429,3579138,230224845,100420025,249.85325
430,3590110,230099929,100691897,252.831167
431,3600249,236310182,100966634,256.027542
432,3611221,216650330,101316224,244.963833
433,3621032,241851974,101689139,267.72175
434,3626512,254527713,102006873,280.569083
435,3637484,256697484,102284154,280.08225
436,3643089,260804004,102634090,283.576
437,3653608,242906266,102790906,269.418541
438,3661190,259908245,102542757,279.012583
439,3668211,260444693,102950217,286.368875
440,3681003,234100551,102884822,260.117417
441,3685364,257730319,103312308,289.776834
442,3700901,243252574,103984894,267.858459
443,3702341,254703063,103844009,274.244291
444,3709624,237734115,104085759,259.875458
445,3712207,248631351,104493720,282.197709
446,3718861,260971598,104495882,279.319375
447,3726982,249936437,104363450,272.646667
448,3737501,247436841,105839779,271.056083
449,3748472,258860986,105609213,279.071417
450,3761230,251714318,105976381,275.464208
451,3771979,258213172,106343467,279.339875
452,3784737,266538500,106379027,285.083625
453,3785621,259796068,107020269,278.054417
454,3786042,264766321,106395245,288.420542
455,3792037,272580143,106821906,296.338208
456,3804745,247222921,106805036,267.759916
457,3815717,270501740,107779569,293.400334
458,3821448,272504698,107394895,298.774375
459,3827920,271452836,107861360,298.168625
460,3832011,257182228,107954317,282.323625
461,3834471,269937191,108136357,297.275834
462,3841658,265771639,108738013,290.297125
463,3849544,275834287,108362713,303.405
464,3860516,270959431,108867133,296.246375
465,3864652,264906428,109034704,285.359042
466,3877530,264314232,109409606,290.426917
467,3884536,273872835,109318101,297.54875
468,3892552,254448795,109769073,281.171875
469,3903116,265841548,109734028,289.363125
470,3914897,269765599,110817498,294.427541
471,3923937,250807337,110784211,279.547167
472,3926183,275563505,110685905,298.313
473,3939121,248601441,111191811,273.225917
474,3949922,270819917,111871751,291.459375
475,3955184,269057773,111980482,296.3615
476,3966156,278751678,112034123,300.928292
477,3977128,272494791,112369697,293.31075
478,3988100,277648558,112969355,298.260709
479,3994050,285020003,113011431,305.208125
480,4001166,283427652,113552389,307.84625
481,4007522,278908260,113377828,303.968416
482,4018494,271054605,113696660,298.077833
483,4024342,277710651,114192775,306.211208
484,4034249,264925410,114234398,287.94075
485,4046314,278566893,114377792,308.097541
486,4053203,284254336,115080205,311.578541
487,4064175,289048388,114848858,317.225417
488,4079712,258678611,115279103,289.562458
489,4090169,285753060,115630347,316.967375
490,4091305,280982355,115611388,312.7495
491,4093882,294011062,116091836,317.414208
