File Name,Array Size,Actual Comparisons,Estimated Theoretical Comparisons
EPAM.csv,2924,65476,65229
NDSN.csv,10971,287906,286571
YUM.csv,6546,159640,161215
EQT.csv,10972,290756,286606
LYV.csv,4467,105278,104938
PFE.csv,12938,350192,344089
AVGO.csv,3556,81750,81264
DUK.csv,10972,291092,286605
REGN.csv,8181,209094,206271
CL.csv,12709,340536,337344
VFC.csv,10972,289444,286593
VZ.csv,10039,263456,259532
JCI.csv,9068,233706,231568
FSLR.csv,4238,97400,98845
AMGN.csv,10149,259338,262704
TEL.csv,4097,93184,95129
JKHY.csv,9535,244872,245009
ADP.csv,10972,287916,286601
ON.csv,5885,144484,143170
STT.csv,10972,289240,286611
RSG.csv,6348,156224,155806
IFF.csv,12297,330052,325334
CARR.csv,884,16340,16663
TRMB.csv,8357,212418,211240
QCOM.csv,8002,199240,201323
LYB.csv,3374,74874,76635
GIS.csv,10972,289368,286601
PHM.csv,10972,291076,286604
ROST.csv,9607,244866,247060
LUV.csv,11024,291418,288114
LW.csv,1726,35732,35857
MS.csv,7701,195736,192989
CPB.csv,12758,344160,338795
OKE.csv,10833,287150,282542
BK.csv,12708,342866,337355
J.csv,10972,289792,286596
SYF.csv,2302,49492,49688
CHD.csv,10972,287860,286604
HWM.csv,1733,35254,36024
MHK.csv,7927,201700,199238
TFC.csv,10971,286314,286586
DAL.csv,4126,94712,95900
APA.csv,11184,297654,292816
K.csv,12758,344196,338850
AFL.csv,10972,288986,286640
CSX.csv,10811,284414,281936
NI.csv,12758,344714,338816
CPT.csv,7597,192440,190122
PFG.csv,5516,132694,133128
NCLH.csv,2687,60240,59278
ZION.csv,10972,288800,286607
RJF.csv,10139,265236,262407
HBAN.csv,10972,290236,286633
UNH.csv,9811,252126,252974
PRU.csv,5480,131452,132160
GPC.csv,10972,290274,286610
WTW.csv,5605,137232,135567
WMB.csv,10519,277572,273441
EQR.csv,7582,191606,189716
DVA.csv,7021,174142,174256
AIG.csv,12792,309388,339827
MA.csv,4361,97560,102113
HON.csv,15537,427272,420775
VICI.csv,1440,29572,29186
O.csv,7283,183514,181469
NWSA.csv,2583,55750,56680
TTWO.csv,6654,165262,164192
AES.csv,8121,208016,204624
SLB.csv,10519,277432,273452
TT.csv,10971,288812,286554
TGT.csv,12758,343092,338802
AAPL.csv,10749,280696,280135
MKC.csv,12758,340406,338799
OTIS.csv,884,16392,16656
CEG.csv,421,6886,7039
TDY.csv,5995,145458,146163
WY.csv,12708,342998,337342
APD.csv,10972,289420,286614
GRMN.csv,5731,137910,138974
AEE.csv,6472,161126,159206
BX.csv,4091,95250,94959
HLT.csv,2460,53266,53617
DLTR.csv,7187,178216,178836
STE.csv,7886,196104,198085
HAS.csv,10972,289012,286604
TMUS.csv,4136,96758,96135
WMT.csv,12878,345794,342354
NTAP.csv,7006,172458,173867
KIM.csv,8016,204410,201684
BAX.csv,10564,276994,274704
LMT.csv,11781,312040,310203
KEY.csv,9040,234096,230762
KEYS.csv,2246,48778,48318
BMY.csv,12938,350288,344111
PSA.csv,10801,285446,281639
WYNN.csv,5262,127222,126253
RHI.csv,10972,287282,286585
EFX.csv,10972,290446,286600
NUE.csv,10972,289724,286590
PKG.csv,5950,146002,144939
WAB.csv,7116,178416,176883
CTSH.csv,6356,154506,156024
SWK.csv,10972,290806,286613
CRL.csv,5848,141714,142183
MU.csv,9907,259910,255719
TRV.csv,12065,323152,318506
BRK-B.csv,6889,173124,170634
L.csv,10972,284316,286617
AEP.csv,15537,426520,420758
CI.csv,10457,271792,271632
DOW.csv,1136,22140,22205
CDW.csv,2577,56418,56527
BALL.csv,12758,343192,338836
