File Name,Array Size,Actual Comparisons,Estimated Theoretical Comparisons,Sorting Time (ms)
HD.csv,10589,183541,183677,0.550959
ALB.csv,7448,123521,123602,0.339125
VLO.csv,10518,181831,182785,0.514334
AON.csv,10919,189658,189167,0.560167
ZTS.csv,2678,40523,40987,0.114
FDX.csv,11460,198841,198621,0.572542
DG.csv,3486,54657,54077,0.160417
TYL.csv,10972,189727,189922,0.529875
HIG.csv,6989,115604,115425,0.322417
CMS.csv,12758,223370,223932,0.610291
CAG.csv,10972,189378,190102,0.56025
INCY.csv,7523,125052,124770,0.385042
SCHW.csv,9072,158318,157286,0.457417
HSIC.csv,7018,115861,115809,0.330584
AZO.csv,8181,137559,136275,0.416417
AXP.csv,12938,225836,226751,0.635042
HPE.csv,1995,29673,29194,0.080375
DFS.csv,4097,64372,66199,0.203
SEE.csv,10972,190861,189979,0.513667
HRL.csv,10972,190147,189904,0.504541
SO.csv,10519,182107,182754,0.555625
FRT.csv,12708,219651,223033,0.55075
ZBH.csv,5575,90944,90839,0.253417
CME.csv,5233,85321,85647,0.23225
XOM.csv,15537,273951,273782,0.735
AMP.csv,4535,72855,74130,0.201166
CVX.csv,15537,273573,273896,0.746958
CMCSA.csv,10972,189318,190030,0.506541
PCG.csv,12938,225094,226943,0.587959
PNW.csv,12758,223871,223684,0.624833
ICE.csv,4491,74033,73547,0.19075
BEN.csv,10081,175181,174115,0.525042
UHS.csv,10641,184576,184511,0.532125
BKR.csv,9189,159177,159227,0.432
EMN.csv,7496,124418,124412,0.346708
SBAC.csv,6107,100346,99626,0.275625
ROK.csv,10519,183033,182685,0.50875
PTC.csv,8511,149739,148865,0.423833
NRG.csv,4985,81294,81104,0.219667
NSC.csv,10414,180401,181072,0.498834
NKE.csv,10792,186470,187284,0.52875
FIS.csv,5599,90685,91231,0.234959
FANG.csv,2752,41642,42140,0.106042
VTR.csv,6640,108316,109537,0.287666
MAS.csv,10972,188878,189954,0.518834
RF.csv,10972,187112,189999,0.491542
ETSY.csv,2124,33324,32832,0.0835
AMCR.csv,2857,34499,43818,0.074583
TAP.csv,12175,210893,210828,0.571916
MAR.csv,6418,106286,106225,0.289584
XYL.csv,3004,46456,45960,0.123791
CMI.csv,12758,225786,223881,0.597333
MTD.csv,6504,107748,107473,0.297834
BF-B.csv,10972,190020,189985,0.52625
KR.csv,15537,274383,273713,0.727708
PLD.csv,6499,107185,107399,0.636666
IBM.csv,15537,274009,273806,0.74225
USB.csv,12708,221208,222952,0.545333
BSX.csv,7894,131404,131223,0.373625
LKQ.csv,5025,82373,81809,0.2205
LIN.csv,7874,130829,130860,0.3965
ITW.csv,12744,221997,223536,0.619375
EOG.csv,8557,150694,149452,0.407708
KMB.csv,10972,190512,189931,0.524583
PEAK.csv,9660,165651,167113,0.426666
SPGI.csv,12758,225433,223815,0.633875
NEM.csv,10972,190908,189932,0.522083
WFC.csv,12938,224526,226957,0.596584
CTVA.csv,1090,16197,15708,0.038875
EL.csv,7008,115982,115703,0.348875
GS.csv,6137,101248,100147,0.280334
GD.csv,15537,274344,273781,0.815208
CNP.csv,15537,273963,273926,0.720625
PM.csv,3907,60527,61052,0.184208
MCO.csv,7274,120865,120751,0.346875
CLX.csv,12758,222896,223794,0.630875
CAH.csv,10116,175184,174802,0.469709
PANW.csv,2811,43844,42961,0.115375
MPWR.csv,4741,77278,77466,0.20825
DGX.csv,6735,111402,111323,0.308125
AVB.csv,7435,122733,123518,0.32475
DIS.csv,15537,272731,273941,0.824709
CBRE.csv,4854,79512,79023,0.232333
GE.csv,15537,272992,273847,0.731791
HII.csv,3147,49353,49020,0.146708
LDOS.csv,4261,71042,70207,0.197708
ALL.csv,7631,126621,126551,0.35475
ETN.csv,12938,226613,226947,0.676084
ALGN.csv,5697,94585,93091,0.2565
NFLX.csv,5370,87986,87680,0.233
LEN.csv,10972,188553,189952,0.508333
FITB.csv,10972,188683,189970,0.487667
WST.csv,10972,189682,190017,0.497041
GWW.csv,12758,224157,223801,0.608541
TRGP.csv,3219,49812,49986,0.125083
NTRS.csv,10972,190295,189981,0.524083
FICO.csv,9115,157316,158067,0.463125
AXON.csv,5600,91227,91285,0.244709
CVS.csv,12758,222848,223732,0.624166
AOS.csv,10076,173220,174041,0.452125
FE.csv,6508,107522,107494,0.295833
JPM.csv,10972,189371,190012,0.490917
ABT.csv,10972,190556,189947,0.542125
OMC.csv,10972,189861,189980,0.516125
COF.csv,7262,120842,120647,0.328541
TSCO.csv,7450,124448,123688,0.342625
PH.csv,10972,190361,189937,0.519542
HST.csv,10972,189615,189933,0.510833
JBHT.csv,10039,173266,173441,0.545333
MRNA.csv,1205,16751,17184,0.039792
TSLA.csv,3331,52395,51783,0.131833
MOH.csv,5091,82452,82735,0.220792
ATO.csv,10015,171766,173033,0.433125
COP.csv,10519,184045,182778,0.481917
DHR.csv,11278,196423,195809,0.52275
CNC.csv,5480,89817,89403,0.245333
MCK.csv,7266,121546,120677,0.336958
TXT.csv,12758,223494,223857,0.608542
MTB.csv,10972,188454,189840,0.47625
FDS.csv,6853,113454,113164,0.320917
VTRS.csv,10972,189381,189963,0.578166
AKAM.csv,6012,98592,98092,0.323334
ROL.csv,10972,189900,189942,0.528792
RMD.csv,7126,118892,117587,0.369875
WRB.csv,12588,218278,221236,0.579667
GOOGL.csv,4806,77354,78352,0.197208
BRO.csv,10743,178992,186066,0.454625
ANET.csv,2340,36585,35959,0.105666
PAYX.csv,10100,175277,174313,0.496125
ALK.csv,10972,189155,189973,0.534083
DRI.csv,7143,117840,117939,0.357416
ILMN.csv,5824,94705,95025,0.252291
META.csv,2854,44725,43772,0.113041
AAL.csv,4527,74143,73951,0.185417
COR.csv,7167,118972,118319,0.327292
MAA.csv,7464,123013,123865,0.323375
MMC.csv,12758,225996,223696,0.6285
FOXA.csv,1142,16221,16268,0.039833
POOL.csv,7033,116108,116105,0.323959
CZR.csv,2266,34780,34768,0.080625
FFIV.csv,6115,100448,99800,0.2845
CINF.csv,10972,189896,190023,0.507833
VMC.csv,12758,223902,223827,0.563084
MKTX.csv,4751,77918,77555,0.20875
SRE.csv,6350,106237,105114,0.287625
LHX.csv,10519,184450,182817,0.517208
ORLY.csv,7659,128927,127069,0.34875
IVZ.csv,7067,116056,116733,0.299833
RCL.csv,7656,128001,127114,0.337292
PXD.csv,6573,109435,108435,0.289708
SNPS.csv,7952,132595,132331,0.374292
GOOG.csv,4806,77025,78404,0.195458
EPAM.csv,2924,45189,44675,0.118375
NDSN.csv,10971,189667,190098,0.502125
YUM.csv,6546,109172,108177,0.296542
EQT.csv,10972,188646,189922,0.504375
LYV.csv,4467,73581,73043,0.190917
PFE.csv,12938,227215,227007,0.617625
AVGO.csv,3556,54746,55130,0.164708
DUK.csv,10972,189889,189938,0.533292
REGN.csv,8181,137057,136200,0.374375
CL.csv,12709,222092,223041,0.649542
VFC.csv,10972,190253,189963,0.566583
VZ.csv,10039,173488,173437,0.458334
JCI.csv,9068,157512,157331,0.40425
FSLR.csv,4238,70615,69903,0.186791
AMGN.csv,10149,176609,175235,0.499708
TEL.csv,4097,64834,66401,0.182667
JKHY.csv,9535,165093,165130,0.448833
ADP.csv,10972,189849,189855,0.53275
ON.csv,5885,96261,95987,0.259125
STT.csv,10972,189505,190024,0.524459
RSG.csv,6348,105241,105047,0.291666
IFF.csv,12297,216939,216631,0.599583
CARR.csv,884,11849,11874,0.030166
TRMB.csv,8357,147587,146588,0.400917
QCOM.csv,8002,134353,133163,0.390292
LYB.csv,3374,52882,52387,0.14375
GIS.csv,10972,190443,189902,0.535625
PHM.csv,10972,188529,189928,0.508417
ROST.csv,9607,166035,166357,0.465125
LUV.csv,11024,190707,190968,0.53575
LW.csv,1726,25083,25033,0.065833
MS.csv,7701,129204,128137,0.343167
CPB.csv,12758,223441,223781,0.619084
OKE.csv,10833,187584,187764,0.49625
BK.csv,12708,220955,223070,0.578917
J.csv,10972,189772,189964,0.501833
SYF.csv,2302,35411,35309,0.088125
CHD.csv,10972,189241,189994,0.51225
HWM.csv,1733,25394,25150,0.066959
MHK.csv,7927,132499,131778,0.394791
TFC.csv,10971,186939,189972,0.468791
DAL.csv,4126,66746,68369,0.179417
APA.csv,11184,193709,193375,0.507709
K.csv,12758,224531,223724,0.613333
